n,N,NN,overlap_n,residual norm,iterations,condition number,estimate,ratio
16,16,16,0,1.596532966737109e-05,32,20.561305786437416,1.0,20.561305786437416
32,16,16,0,3.2296268610368564e-05,42,36.08287805583399,2.0,18.041439027916994
32,16,16,1,3.738925724710072e-05,35,35.840557016941865,2.0,17.920278508470933
32,32,16,0,3.7717642879829725e-05,41,34.6120885215272,4.0,8.6530221303818
32,32,32,0,4.403485936580636e-05,32,21.15723556953825,1.0,21.15723556953825
64,16,16,0,7.440369084359733e-05,57,71.36205029519016,4.0,17.84051257379754
64,16,16,1,8.443343429771926e-05,47,72.34804023740965,4.0,18.087010059352412
64,16,16,2,7.628061267694034e-05,43,61.312944673905584,2.0,30.656472336952792
64,32,16,0,7.306626322799932e-05,57,69.3851727993245,8.0,8.673146599915562
64,32,16,1,7.776861530895767e-05,57,86.21513371134829,8.0,10.776891713918536
64,32,32,0,6.148794955470951e-05,42,36.09532557047297,2.0,18.047662785236486
64,32,32,1,8.694866920062593e-05,44,45.60290856875184,2.0,22.80145428437592
64,64,16,0,8.691120563235363e-05,65,89.62795968217854,16.0,5.601747480136159
64,64,32,0,6.780174164003821e-05,42,35.000454814284545,4.0,8.750113703571136
64,64,64,0,6.762664816316872e-05,34,22.005517392356264,1.0,22.005517392356264
128,16,16,0,0.00017119992360539187,78,144.22696545513713,8.0,18.02837068189214
128,16,16,1,0.00017980270196717808,68,146.6562184532243,8.0,18.33202730665304
128,16,16,2,0.0001277613220243773,60,121.58779598294811,4.0,30.396948995737027
128,16,16,4,0.00015326096621838425,47,93.29827815545092,2.0,46.64913907772546
128,32,16,0,0.00013542011669414935,81,144.6028113673658,16.0,9.037675710460363
128,32,16,1,0.0001582004666444331,76,163.2538970199211,16.0,10.20336856374507
128,32,16,2,0.0001657864363505898,70,156.27752439487156,8.0,19.534690549358945
128,32,32,0,0.00015106966185612954,57,70.76764923413513,4.0,17.691912308533784
128,32,32,1,0.0001612672806646757,58,84.14890359947775,4.0,21.037225899869437
128,32,32,2,0.0001616453159337593,58,86.99888289607274,2.0,43.49944144803637
128,64,16,0,0.00016255268885051778,93,191.26776872203152,32.0,5.977117772563485
128,64,16,1,0.00017071333999861272,89,196.14811466356676,32.0,6.129628583236461
128,64,32,0,0.00017688769560897965,58,73.5395117910339,8.0,9.192438973879238
128,64,32,1,0.00015378326999272927,65,98.48953500345753,8.0,12.311191875432192
128,64,64,0,0.0001354353669996597,42,36.19561318782779,2.0,18.097806593913894
128,64,64,1,0.00012713600629731878,47,48.886250106423915,2.0,24.443125053211958
128,128,16,0,0.00016805034629437723,112,274.2775524477483,64.0,4.285586756996067
128,128,32,0,0.00014393053419414913,66,89.42209765268241,16.0,5.588881103292651
128,128,64,0,0.00015906698190517633,42,35.39436517504093,4.0,8.848591293760233
128,128,128,0,0.00014054587394931716,34,22.308663243833262,1.0,22.308663243833262
256,16,16,0,0.00035240701615858554,109,284.4126917810521,16.0,17.775793236315756
256,16,16,1,0.00035276944767500737,97,291.71175916205624,16.0,18.231984947628515
256,16,16,2,0.00028805347353644874,79,246.6521197226136,8.0,30.8315149653267
256,16,16,4,0.00031845656428061323,64,184.01283594824463,4.0,46.00320898706116
256,16,16,8,0.0002741204214608274,52,125.37718233523174,2.0,62.68859116761587
256,32,16,0,0.0003478512296860079,111,301.93184456856443,32.0,9.435370142767638
256,32,16,1,0.00035810200502587415,105,325.99731537565367,32.0,10.187416105489177
256,32,16,2,0.0003536617143985959,93,293.10394569995333,16.0,18.318996606247083
