n,N,NN,overlap_n,residual norm,iterations,condition number,estimate,ratio
512,16,16,0,0.0006645287986731289,145,567.6513641039583,32.0,17.739105128248696
512,16,16,1,0.0006938784266960297,132,579.4214270472828,32.0,18.106919595227588
512,16,16,2,0.0007111857737123162,114,491.1339620767497,16.0,30.695872629796856
512,16,16,4,0.0005165413027819028,88,375.27862272153396,8.0,46.909827840191745
512,16,16,8,0.0006659040801510641,70,247.52720756440715,4.0,61.88180189110179
512,16,16,16,0.0005055546347194204,54,151.23267268822013,2.0,75.61633634411007
512,32,16,0,0.0006681474760435451,158,616.8540321347672,64.0,9.638344252105737
512,32,16,1,0.000658889889476852,148,652.2097084015262,64.0,10.190776693773847
512,32,16,2,0.0005571134677350142,137,589.6943031372308,32.0,18.427946973038463
512,32,16,4,0.000686799923449663,115,489.3831832697383,16.0,30.586448954358644
512,32,16,8,0.0006360375016873583,96,387.1654284580261,8.0,48.39567855725326
512,32,32,0,0.0006227629733598635,110,286.63263551163885,16.0,17.91453971947743
512,32,32,1,0.0005353617932519596,113,325.9729656496808,16.0,20.37331035310505
512,32,32,2,0.0006541413974346197,106,320.0860364700491,8.0,40.01075455875614
512,32,32,4,0.000684325632071012,95,289.495749921325,4.0,72.37393748033125
512,32,32,8,0.0006725936948202288,87,264.15336895923616,2.0,132.07668447961808
512,64,16,0,0.000718599912900641,181,834.4132221572374,128.0,6.5188532981034175
512,64,16,1,0.0006122588179382916,160,728.1048795523404,128.0,5.68831937150266
512,64,16,2,0.0007052301333643644,147,579.3403400900803,64.0,9.052192813907505
512,64,16,4,0.0006988915535435173,146,653.3077280477719,32.0,20.41586650149287
