n,N,NN,overlap_n,residual norm,iterations,condition number,estimate,ratio
8,8,8,0,6.805616077760734e-06,29,18.435827747086694,1.0,18.435827747086694
16,8,8,0,1.9775704497203212e-05,39,34.63932457797838,2.0,17.31966228898919
16,8,8,1,1.9938588794505615e-05,23,19.520551912296305,2.0,9.760275956148153
16,16,8,0,1.937321230143169e-05,41,34.46581144061032,4.0,8.61645286015258
32,8,8,0,4.2622981340448186e-05,53,69.00636715115424,4.0,17.25159178778856
32,8,8,1,2.8128549498454404e-05,35,45.88286425276137,4.0,11.470716063190343
32,8,8,2,2.3304492944091842e-05,27,28.196754628914153,2.0,14.098377314457077
32,16,8,0,4.344954961407647e-05,57,69.56732590002804,8.0,8.695915737503505
32,16,8,1,3.036853885263991e-05,40,56.96277714000021,8.0,7.120347142500027
32,32,8,0,4.101587752655146e-05,63,87.84560748764173,16.0,5.490350467977608
64,8,8,0,8.742965333569734e-05,73,137.06147275091368,8.0,17.13268409386421
64,8,8,1,8.174491427752125e-05,48,94.6158648371646,8.0,11.826983104645574
64,8,8,2,7.835007799123534e-05,36,62.28044581169751,4.0,15.570111452924378
64,8,8,4,7.975808133877962e-05,28,35.8908721888166,2.0,17.9454360944083
64,16,8,0,7.638398449822778e-05,80,148.53758408883218,16.0,9.283599005552011
64,16,8,1,5.934583276805354e-05,60,123.00786570146117,16.0,7.687991606341323
64,16,8,2,6.867789008881927e-05,46,88.23259672577105,8.0,11.02907459072138
64,32,8,0,8.65529243643173e-05,87,180.70071502950927,32.0,5.646897344672165
64,32,8,1,6.954331672291488e-05,72,153.2563993785113,32.0,4.789262480578478
64,64,8,0,8.416828634919843e-05,110,271.778839212056,64.0,4.246544362688375
128,8,8,0,0.00016190223168920733,101,276.10094627224214,16.0,17.256309142015134
128,8,8,1,0.00012208592088000636,67,189.764643293438,16.0,11.860290205839876
128,8,8,2,0.0001639037172019768,52,128.3627313810061,8.0,16.045341422625764
128,8,8,4,0.00015568079654016816,38,75.71833780250097,4.0,18.929584450625242
128,8,8,8,0.00011182613068172023,30,41.49901982601895,2.0,20.749509913009476
128,16,8,0,0.00016401025456955353,112,305.6183674569446,32.0,9.550573983029519
128,16,8,1,0.00016807212992191623,78,251.56731349070128,32.0,7.861478546584415
128,16,8,2,0.00017092660902670928,65,185.13478366889765,16.0,11.570923979306103
128,16,8,4,0.00017091998867399183,50,120.76508595265776,8.0,15.09563574408222
128,32,8,0,0.00017720793720303116,128,401.5931213813293,64.0,6.27489252158327
128,32,8,1,0.00014577741621160496,96,310.21117435006175,64.0,4.847049599219715
128,32,8,2,0.00015672949118233784,79,254.63597835975804,32.0,7.957374323742439
128,64,8,0,0.00017248504709702414,153,572.7375797870885,128.0,4.474512342086629
128,64,8,1,0.00015983587668393326,116,384.54628001229054,128.0,3.00426781259602
128,128,8,0,0.0001646621023919833,195,921.0623394528636,256.0,3.5978997634877485
256,8,8,0,0.0003074123362556154,141,551.5895112860994,32.0,17.237172227690607
256,8,8,1,0.0003412773830726629,95,378.25919835789307,32.0,11.820599948684158
256,8,8,2,0.00023930267829551605,72,257.4773799139743,16.0,16.092336244623393
256,8,8,4,0.0002902834667536831,54,156.33943577806397,8.0,19.542429472257997
256,8,8,8,0.00028584787636539295,38,84.88765561636257,4.0,21.22191390409064
256,8,8,16,0.0001997997444708877,31,44.98821269298614,2.0,22.49410634649307
256,16,8,0,0.00030998348633702887,152,615.7077750752156,64.0,9.620433985550244
256,16,8,1,0.0003249677383769967,119,503.4530377940814,64.0,7.866453715532522
256,16,8,2,0.0002857132769350161,92,378.5658768964755,32.0,11.83018365301486
256,16,8,4,0.00024265251148039763,70,248.22075509003906,16.0,15.513797193127441
256,16,8,8,0.0002806122203195385,54,147.72898267085262,8.0,18.466122833856577
256,32,8,0,0.0003531508035292607,174,832.8038154006509,128.0,6.506279807817585
256,32,8,1,0.00034890512706196956,137,630.0780683254433,128.0,4.9224849087925255
256,32,8,2,0.00030231108680775303,113,505.6796218072274,64.0,7.901244090737928
256,32,8,4,0.00034259713815517,88,380.0911844169511,32.0,11.877849513029721
256,64,8,0,0.00035989380453398166,214,1256.2329818449807,256.0,4.907160085331956
256,64,8,1,0.00030591735196731576,155,759.7262200813025,256.0,2.967680547192588
256,64,8,2,0.0003152690033200219,143,669.1033461520656,128.0,5.227369891813012
256,128,8,0,0.0003397042676652357,275,2001.9218516430835,512.0,3.9100036164903975
256,128,8,1,0.0003425228024158531,186,945.7913950748284,512.0,1.8472488185055242
256,256,8,0,0.00034436561343730336,364,3346.573112576622,1024.0,3.2681378052506074
512,8,8,0,0.000696872268374169,193,1104.1617595291036,64.0,17.252527492642244
512,8,8,1,0.0006398134010225936,126,754.0540486580732,64.0,11.782094510282393
512,8,8,2,0.0006415237422340169,99,513.3553084535585,32.0,16.0423533891737
512,8,8,4,0.0004365531478521357,76,313.85411069310584,16.0,19.615881918319115
512,8,8,8,0.0004241039731479923,55,175.54464844919806,8.0,21.943081056149758
512,8,8,16,0.00043069813228235686,39,90.37607437796115,4.0,22.594018594490286
512,8,8,32,0.000365256483449923,31,46.9624732130657,2.0,23.48123660653285
512,16,8,0,0.0006382914525719912,209,1213.9776523030514,128.0,9.484200408617589
