n,N,NN,overlap_n,preconditioner,solver,coefficient,coefficient_param,residual norm,iterations,condition number
32,16,16,0,Additive,GMRES,continuous,,4.4050463895715146e-07,57,
32,16,16,0,Additive,CG,continuous,,2.738574334795598e-07,56,36.314171833446416
32,16,16,0,Multiplicative Symmetric,GMRES,continuous,,2.2636557753437684e-07,25,
32,16,16,0,Multiplicative Symmetric,CG,continuous,,2.2408597936840662e-07,25,8.077154848017306
32,16,16,0,Multiplicative,GMRES,continuous,,2.583538469348824e-07,31,
32,16,16,0,Hybrid,GMRES,continuous,,3.7813008978234146e-07,31,
32,16,16,0,Hybrid,CG,continuous,,3.3536812623261626e-07,31,11.575858691318398
32,16,16,1,Additive,GMRES,continuous,,3.4175313074571666e-07,54,
32,16,16,1,Additive,CG,continuous,,3.339746339749484e-07,45,35.81621257970048
32,16,16,1,Multiplicative Symmetric,GMRES,continuous,,3.512050234088051e-07,14,
32,16,16,1,Multiplicative Symmetric,CG,continuous,,2.602771499722801e-07,15,4.111015101531203
32,16,16,1,Multiplicative,GMRES,continuous,,1.8689067723219137e-07,20,
32,16,16,1,Hybrid,GMRES,continuous,,3.742934320884898e-07,31,
32,16,16,1,Hybrid,CG,continuous,,1.973758585945577e-07,30,11.03203888278155
32,16,16,0,Additive,GMRES,constant,,4.1123756687654297e-07,57,
32,16,16,0,Additive,CG,constant,,3.1273941331243585e-07,56,36.41884020379174
32,16,16,0,Multiplicative Symmetric,GMRES,constant,,2.6578411983243566e-07,25,
32,16,16,0,Multiplicative Symmetric,CG,constant,,3.900275624804617e-07,24,7.850827130859238
32,16,16,0,Multiplicative,GMRES,constant,,4.390895311593048e-07,31,
32,16,16,0,Hybrid,GMRES,constant,,2.869938289656795e-07,32,
32,16,16,0,Hybrid,CG,constant,,3.1327594202087476e-07,31,11.643500146717962
32,16,16,1,Additive,GMRES,constant,,2.884030930459782e-07,55,
32,16,16,1,Additive,CG,constant,,3.0821553672677433e-07,44,36.41805839890898
32,16,16,1,Multiplicative Symmetric,GMRES,constant,,2.9454668286011916e-07,14,
32,16,16,1,Multiplicative Symmetric,CG,constant,,1.9928688623447025e-07,14,4.185452702774479
32,16,16,1,Multiplicative,GMRES,constant,,2.931849240817108e-07,20,
32,16,16,1,Hybrid,GMRES,constant,,3.1279843556476275e-07,31,
32,16,16,1,Hybrid,CG,constant,,3.971714826881031e-07,29,11.116396862785319
32,16,16,0,Additive,GMRES,coarse checkerboard,1000000.0,1.1362768900110491e-08,53,
32,16,16,0,Additive,CG,coarse checkerboard,1000000.0,1.997431113755074e-07,37,21.00272990293424
32,16,16,0,Multiplicative Symmetric,GMRES,coarse checkerboard,1000000.0,2.128237324203543e-07,15,
32,16,16,0,Multiplicative Symmetric,CG,coarse checkerboard,1000000.0,1.9077835401092448e-07,16,3.7875587874767285
32,16,16,0,Multiplicative,GMRES,coarse checkerboard,1000000.0,1.4860472557146185e-08,26,
