n,N,NN,overlap_n,preconditioner,solver,coefficient,coefficient_param,coarse_elem,coarse_deg,residual norm,iterations,condition number
16,8,8,0,Additive,CG,constant,,DG,0,1.693893772897992e-07,51,34.8738481946713
16,8,8,0,Multiplicative Symmetric,CG,constant,,DG,0,1.5616558633531266e-07,22,6.977739554345592
16,8,8,0,Multiplicative,GMRES,constant,,DG,0,9.839578030179892e-08,27,
16,8,8,0,Hybrid,CG,constant,,DG,0,1.067510051069822e-07,31,11.568792700622145
16,8,8,1,Additive,CG,constant,,DG,0,2.165204001816531e-07,31,20.20853931882389
16,8,8,1,Multiplicative Symmetric,CG,constant,,DG,0,8.661326170687883e-08,9,2.2327086714728224
16,8,8,1,Multiplicative,GMRES,constant,,DG,0,4.384812465907603e-08,13,
16,8,8,1,Hybrid,CG,constant,,DG,0,1.2629860929549003e-07,25,9.727385428265393
16,8,8,0,Additive,CG,coarse checkerboard,1000000.0,DG,0,9.528375790433412e-08,33,18.342495417907948
16,8,8,0,Multiplicative Symmetric,CG,coarse checkerboard,1000000.0,DG,0,1.7918156531173042e-07,13,3.2888893560303694
16,8,8,0,Multiplicative,GMRES,coarse checkerboard,1000000.0,DG,0,3.811553602949282e-09,24,
16,8,8,0,Hybrid,CG,coarse checkerboard,1000000.0,DG,0,8.850988500964177e-08,14,3.914283901504495
16,8,8,1,Additive,CG,coarse checkerboard,1000000.0,DG,0,6.367383418699139e-08,32,13.830838177427934
16,8,8,1,Multiplicative Symmetric,CG,coarse checkerboard,1000000.0,DG,0,4.069974438219971e-08,8,1.6304202983696714
16,8,8,1,Multiplicative,GMRES,coarse checkerboard,1000000.0,DG,0,2.219302272238179e-07,10,
16,8,8,1,Hybrid,CG,coarse checkerboard,1000000.0,DG,0,1.4635239587194428e-07,24,5.81469541394766
16,8,8,0,Additive,CG,solvers checkerboard,1000000.0,DG,0,1.0273995665223767e-07,35,18.34282055858427
16,8,8,0,Multiplicative Symmetric,CG,solvers checkerboard,1000000.0,DG,0,5.377168103853344e-08,15,3.4498646362957244
16,8,8,0,Multiplicative,GMRES,solvers checkerboard,1000000.0,DG,0,5.622310249329013e-08,21,
16,8,8,0,Hybrid,CG,solvers checkerboard,1000000.0,DG,0,9.691810332453318e-08,14,3.926899520744892
16,8,8,1,Additive,CG,solvers checkerboard,1000000.0,DG,0,7.915026802258197e-08,32,13.830838058569457
16,8,8,1,Multiplicative Symmetric,CG,solvers checkerboard,1000000.0,DG,0,1.9199306494827063e-07,7,1.6327761984439289
16,8,8,1,Multiplicative,GMRES,solvers checkerboard,1000000.0,DG,0,2.8162738291262885e-08,11,
16,8,8,1,Hybrid,CG,solvers checkerboard,1000000.0,DG,0,1.7016255229866244e-07,24,5.814694840473565
16,16,8,0,Additive,CG,constant,,DG,0,2.1482908945070602e-07,53,34.592860102559115
16,16,8,0,Multiplicative Symmetric,CG,constant,,DG,0,1.205749090542581e-07,24,7.636587113902076
16,16,8,0,Multiplicative,GMRES,constant,,DG,0,1.583121572170485e-07,33,
16,16,8,0,Hybrid,CG,constant,,DG,0,1.8588585552091415e-07,37,16.293919719158524
16,16,8,0,Additive,CG,coarse checkerboard,1000000.0,DG,0,1.408101711076125e-07,43,15.984354339602415
16,16,8,0,Multiplicative Symmetric,CG,coarse checkerboard,1000000.0,DG,0,1.8295131818494813e-07,19,4.235007056220168
16,16,8,0,Multiplicative,GMRES,coarse checkerboard,1000000.0,DG,0,1.2919820000997125e-07,22,
16,16,8,0,Hybrid,CG,coarse checkerboard,1000000.0,DG,0,2.1564841509764945e-07,32,10.206520357985864
16,16,8,0,Additive,CG,solvers checkerboard,1000000.0,DG,0,3.485046892961069e-08,56,31.10604042597296
16,16,8,0,Multiplicative Symmetric,CG,solvers checkerboard,1000000.0,DG,0,1.4493505531254566e-07,22,6.826624651462094
16,16,8,0,Multiplicative,GMRES,solvers checkerboard,1000000.0,DG,0,1.1044555180845682e-07,30,
16,16,8,0,Hybrid,CG,solvers checkerboard,1000000.0,DG,0,9.885326974581066e-08,41,19.289671479561665
16,16,16,0,Additive,CG,constant,,DG,0,1.9456437502326691e-07,42,20.584300688414533
16,16,16,0,Multiplicative Symmetric,CG,constant,,DG,0,1.3581495123423937e-07,19,4.903557092494028
16,16,16,0,Multiplicative,GMRES,constant,,DG,0,1.8864930061061288e-07,25,
16,16,16,0,Hybrid,CG,constant,,DG,0,1.1805214725579929e-07,29,10.23255934813677
16,16,16,0,Additive,CG,coarse checkerboard,1000000.0,DG,0,1.5148496382273404e-07,33,14.426870666151547
16,16,16,0,Multiplicative Symmetric,CG,coarse checkerboard,1000000.0,DG,0,1.1017242186501243e-07,14,2.906405902001544
16,16,16,0,Multiplicative,GMRES,coarse checkerboard,1000000.0,DG,0,1.4851878873167204e-07,18,
16,16,16,0,Hybrid,CG,coarse checkerboard,1000000.0,DG,0,3.286769489384932e-08,16,2.9865322756743
16,16,16,0,Additive,CG,solvers checkerboard,1000000.0,DG,0,2.2091368776581984e-07,33,14.423847819881441
16,16,16,0,Multiplicative Symmetric,CG,solvers checkerboard,1000000.0,DG,0,5.8358360569091084e-08,14,2.795449498845115
16,16,16,0,Multiplicative,GMRES,solvers checkerboard,1000000.0,DG,0,7.870844596379292e-08,18,
16,16,16,0,Hybrid,CG,solvers checkerboard,1000000.0,DG,0,2.2899691114462187e-08,16,2.9921145290428703
