datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,DoFs,matrix nnz,metadata,residual norm,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2026-02-04T11:16:12.613510+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S1,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,24,216,"{'iterations': 14, 'residual norms': [3.4191657392658717e-15, 7.45432989077716e-16, 2.7799766534921857e-16, 7.243561360850958e-17, 1.3699874437288143e-17, 3.254262665743671e-18, 8.543379492418931e-19, 2.181426039325289e-19, 3.063628873224327e-20, 4.516359834799953e-21, 1.467146652348803e-21, 3.001387046899527e-22, 4.639019798325479e-23, 1.2420186581899812e-23, 3.273767495429653e-24], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.273768030431637e-24,,"[2243.791015625, 18.305248260498047, 16.857759475708008, 14.134623527526855, 10.920607566833496, 10.943743705749512, 12.030176162719727, 10.855584144592285, 10.939423561096191, 11.051648139953613]",[1.546239972114563],[0.013376000337302685],[480.02679443359375],[0.16422399878501892],[0.08953599631786346],
2026-02-04T11:16:13.063031+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S1,,,"CG(AMGX(L1_TRUNC, None), bsr_matmul=True)",False,0,1,10,24,216,"{'iterations': 14, 'residual norms': [3.4191657392658717e-15, 7.454329983313332e-16, 2.7799766139150667e-16, 7.243558744828119e-17, 1.3699870290120507e-17, 3.2542620959886563e-18, 8.543377460926587e-19, 2.181424938604691e-19, 3.063628516166268e-20, 4.516355438843764e-21, 1.4671445324247848e-21, 3.001386103729481e-22, 4.6389730709440355e-23, 1.2420095045428319e-23, 3.2737646338175524e-24], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.2737642012616487e-24,,"[11.665696144104004, 10.825056076049805, 11.54867172241211, 10.729503631591797, 10.691679954528809, 10.776288032531738, 10.712096214294434, 10.69638442993164, 10.770048141479492, 10.697888374328613]",[0.6071040034294128],[0.011168000288307667],[155.5235137939453],[0.16655999422073364],[0.06028800085186958],
2026-02-04T11:16:13.312671+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S1,,,"AMGX(CG_L1_TRUNC, None)",False,0,1,10,24,216,{},3.0772494193783924e-14,,"[2.1086719036102295, 1.5879679918289185, 1.5732159614562988, 1.5510079860687256, 1.5548479557037354, 1.5406399965286255, 1.5745279788970947, 1.54694402217865, 1.5563199520111084, 1.544927954673767]",[0.9178879857063293],[0.01119999960064888],[49.71945571899414],[0.09715200215578079],[0.062111999839544296],
2026-02-04T11:16:13.635169+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S1,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=False)",False,0,1,10,24,216,"{'iterations': 14, 'residual norms': [3.4191657392658717e-15, 7.454329890777159e-16, 2.779976653492185e-16, 7.243561360850953e-17, 1.3699874437288746e-17, 3.2542626657436065e-18, 8.543379492419255e-19, 2.1814260393226636e-19, 3.0636288732529623e-20, 4.516359834852309e-21, 1.4671466523378644e-21, 3.0013870460690586e-22, 4.639019277440055e-23, 1.2420185292820953e-23, 3.2737670829944714e-24], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.2737668561696845e-24,,"[10.202912330627441, 6.1750078201293945, 6.163424015045166, 6.136896133422852, 6.130720138549805, 10.055551528930664, 6.1062397956848145, 6.08681583404541, 6.1495041847229, 6.140960216522217]",[0.6183040142059326],[0.01158399973064661],[49.79734420776367],[0.07433599978685379],[0.0663359984755516],
2026-02-04T11:16:13.922737+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S1,,,"CG(AMGX(L1_TRUNC, None), bsr_matmul=False)",False,0,1,10,24,216,"{'iterations': 14, 'residual norms': [3.4191657392658717e-15, 7.454329983313322e-16, 2.7799766139150667e-16, 7.24355874482812e-17, 1.3699870290120517e-17, 3.25426209598865e-18, 8.543377460926575e-19, 2.1814249386046883e-19, 3.063628516166271e-20, 4.5163554388437696e-21, 1.4671445324247944e-21, 3.001386103729486e-22, 4.6389730709443053e-23, 1.2420095045428733e-23, 3.273764633817619e-24], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",3.2737641366779672e-24,,"[6.229983806610107, 5.897696018218994, 5.830272197723389, 6.297760009765625, 5.663072109222412, 5.662879943847656, 5.667232036590576, 5.65561580657959, 5.672512054443359, 5.665279865264893]",[0.6288639903068542],[0.011071999557316303],[49.97868728637695],[0.09859199821949005],[0.05753599852323532],
2026-02-04T11:16:15.249721+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S2,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,96,1008,"{'iterations': 21, 'residual norms': [1.4221616454568433e-15, 5.047614542361469e-16, 2.4315710574794976e-16, 1.0632594536801557e-16, 3.4578241930183534e-17, 1.702718149201576e-17, 6.263943227829282e-18, 2.6854536503100966e-18, 8.344553696698765e-19, 2.736572647173893e-19, 1.0872134381995392e-19, 3.624346024523446e-20, 1.2130864220130966e-20, 3.708262379234484e-21, 1.2532387478748405e-21, 4.0079154309769614e-22, 1.5532973009293868e-22, 5.228989011468735e-23, 1.594454219532597e-23, 6.130371934616582e-24, 1.6446917982848711e-24, 4.816760262939698e-25], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",4.816762369843246e-25,,"[817.2605590820312, 16.753631591796875, 16.8372802734375, 16.68623924255371, 17.00147247314453, 16.995616912841797, 17.044511795043945, 16.97382354736328, 19.8799991607666, 18.075008392333984]",[0.6547200083732605],[0.010975999757647514],[155.00259399414062],[0.1661120057106018],[0.07555200159549713],
2026-02-04T11:16:15.758503+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S2,,,"CG(AMGX(L1_TRUNC, None), bsr_matmul=True)",False,0,1,10,96,1008,"{'iterations': 21, 'residual norms': [1.4221616454568433e-15, 5.047614416852692e-16, 2.4315710365961066e-16, 1.0632593924967931e-16, 3.457824060911024e-17, 1.7027180888751223e-17, 6.263942959790173e-18, 2.6854538145234055e-18, 8.344554299651814e-19, 2.736572856343294e-19, 1.0872136121299814e-19, 3.6243471397910656e-20, 1.2130865525016458e-20, 3.7082623448930565e-21, 1.2532388073689794e-21, 4.007913519410383e-22, 1.5532968190321994e-22, 5.2289894324408815e-23, 1.594454836736601e-23, 6.130371487166751e-24, 1.6446907559721342e-24, 4.816757630597726e-25], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",4.81675768824896e-25,,"[16.967071533203125, 17.0032958984375, 16.159584045410156, 16.162559509277344, 16.111295700073242, 16.225984573364258, 16.143104553222656, 16.16886329650879, 16.162464141845703, 16.127872467041016]",[0.6659839749336243],[0.011487999930977821],[155.53692626953125],[0.16467200219631195],[0.06063999980688095],
2026-02-04T11:16:16.019552+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S2,,,"AMGX(CG_L1_TRUNC, None)",False,0,1,10,96,1008,{},1.2799463982187923e-14,,"[2.31823992729187, 2.2096641063690186, 2.193376064300537, 2.214143991470337, 2.205375909805298, 2.2058238983154297, 2.1955199241638184, 2.1755199432373047, 2.199104070663452, 2.203968048095703]",[0.707040011882782],[0.011744000017642975],[50.53206253051758],[0.09539200365543365],[0.060575999319553375],
2026-02-04T11:16:16.356299+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S2,,,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=False)",False,0,1,10,96,1008,"{'iterations': 21, 'residual norms': [1.4221616454568433e-15, 5.04761454236147e-16, 2.431571057479499e-16, 1.0632594536801568e-16, 3.4578241930183453e-17, 1.702718149201561e-17, 6.263943227829127e-18, 2.6854536503100427e-18, 8.344553696698568e-19, 2.736572647173679e-19, 1.0872134381973605e-19, 3.6243460245212266e-20, 1.2130864220107594e-20, 3.708262379352973e-21, 1.2532387476972448e-21, 4.007915400799185e-22, 1.5532972591315172e-22, 5.228989119823867e-23, 1.594454078939238e-23, 6.13037213792252e-24, 1.6446916857688239e-24, 4.816759991435883e-25], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",4.816761619441358e-25,,"[9.872672080993652, 9.318367958068848, 9.32256031036377, 9.300928115844727, 9.2774076461792, 9.286527633666992, 9.29475212097168, 9.285375595092773, 9.278559684753418, 9.290047645568848]",[0.6334720253944397],[0.01152000017464161],[53.190399169921875],[0.16035200655460358],[0.05894400179386139],
2026-02-04T11:16:16.683496+00:00,continuous coefficient 2D,1,"uniform(2D,11)",S2,,,"CG(AMGX(L1_TRUNC, None), bsr_matmul=False)",False,0,1,10,96,1008,"{'iterations': 21, 'residual norms': [1.4221616454568433e-15, 5.047614416852692e-16, 2.431571036596106e-16, 1.0632593924967926e-16, 3.457824060911022e-17, 1.7027180888751205e-17, 6.2639429597901635e-18, 2.6854538145234013e-18, 8.344554299651803e-19, 2.7365728563432876e-19, 1.0872136121299795e-19, 3.6243471397910505e-20, 1.2130865525016436e-20, 3.7082623448930535e-21, 1.2532388073689787e-21, 4.007913519410368e-22, 1.553296819032196e-22, 5.228989432440895e-23, 1.5944548367365998e-23, 6.1303714871667545e-24, 1.6446907559720112e-24, 4.816757630597786e-25], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",4.816756883192078e-25,,"[9.273856163024902, 8.901375770568848, 8.882528305053711, 8.8754243850708, 8.87065601348877, 8.876288414001465, 8.880800247192383, 8.885919570922852, 8.883744239807129, 8.881695747375488]",[0.6263039708137512],[0.011552000418305397],[50.68783950805664],[0.09836799651384354],[0.06022400036454201],
