datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,DoFs,matrix nnz,residual norm,metadata,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2026-01-13T09:21:00.932998+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,S8,S8,"CG(AdditiveSchwarz(torch.float64, Inv(), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,6291456,75460608,1.0105893057759844e-10,"{'iterations': 75, 'residual norms': [0.108308620567285, 8.149310473564238, 7.195734198156673, 9.681899406212278, 4.784541086369583, 2.4255379534717405, 2.278062826287283, 0.9731234758786937, 0.528312974707932, 0.2837187151421438, 0.1709867635834995, 0.10482608537238546, 0.05590510897400745, 0.04459581634277152, 0.04640475238357764, 0.033956647950984055, 0.019086900185095648, 0.010950626955499372, 0.00921366403272688, 0.007705816245655346, 0.008362611191406152, 0.009355282769615383, 0.004751829886985009, 0.002270527796395821, 0.0011886312296597785, 0.0006912962839848747, 0.0004145576648884901, 0.0003418012934017869, 0.0002786016934108016, 0.00017598148200963253, 0.00013929289249323468, 0.00012066335669953755, 0.00013604441737520917, 0.00010182455100922885, 7.977507512070047e-05, 4.827253752777113e-05, 2.456653940023698e-05, 1.856967445484242e-05, 1.2894420096672012e-05, 8.187059451132885e-06, 6.8058249362987425e-06, 5.224211015783649e-06, 4.225045598015587e-06, 2.6978366028384824e-06, 1.3012959823587237e-06, 1.2893163405434566e-06, 1.0859221536142673e-06, 8.959231068907248e-07, 7.965164090347147e-07, 6.303357963087808e-07, 4.6167299510722663e-07, 4.7122929699826915e-07, 2.5627836769273724e-07, 1.2062821162532206e-07, 7.084884286188637e-08, 4.665984335069653e-08, 3.353834993360157e-08, 2.5478857307198048e-08, 2.0468035544494454e-08, 1.5026599627599974e-08, 1.3392231667202037e-08, 1.1066052990959935e-08, 8.9356761180817e-09, 6.912480217869434e-09, 4.521218062767469e-09, 4.202511983066626e-09, 2.822378997113799e-09, 2.7608415918685965e-09, 2.074957616538274e-09, 1.127806159193009e-09, 5.494121247091055e-10, 4.979319938247713e-10, 2.785005312236914e-10, 1.681421673718012e-10, 1.2553878837842545e-10, 1.0103220482764264e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[5152.46435546875, 306.4001770019531, 304.33514404296875, 302.40289306640625, 305.5850830078125, 302.4128112792969, 306.6123352050781, 302.30169677734375, 302.167724609375, 302.26446533203125]",[104.40742492675781],[820.1741943359375],[3041.159423828125],[14.516768455505371],[12.690591812133789],
2026-01-13T09:21:08.860119+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,S8,S8,"CG(HybridSchwarz(torch.float64, Inv(), CUDSS), bsr_matmul=True)",False,0,1,10,6291456,75460608,8.881657640912622e-11,"{'iterations': 61, 'residual norms': [8.147288316937153, 7.300074285317348, 7.04749907200966, 2.298640384021035, 2.02116118727453, 0.8229509164246005, 0.34888716507035306, 0.16931618277320817, 0.08365507397456746, 0.051348450838675834, 0.044871200990172576, 0.040974649004688266, 0.021080724848234002, 0.014453695948385064, 0.008069573272603058, 0.00854405525299191, 0.006725343868242903, 0.002634925927240937, 0.0017775416344335436, 0.001151367124371988, 0.0007142080108633502, 0.0004148549980527689, 0.00030597993719154557, 0.00035206143247307274, 0.00023488951504087524, 0.00012195389028280013, 5.823540500652103e-05, 3.7949562854545394e-05, 3.266235538982149e-05, 2.4669736496784607e-05, 1.1588459681438691e-05, 8.452901502510718e-06, 6.758381563111578e-06, 4.810161585250575e-06, 3.9162371336599325e-06, 2.5633575001116824e-06, 1.735847451045539e-06, 8.972287966845364e-07, 5.550822917643551e-07, 3.7428315346377546e-07, 2.4622284384481063e-07, 1.9315791493292304e-07, 1.71376904768168e-07, 1.0025118783653664e-07, 6.327507590744287e-08, 4.817953099284877e-08, 4.0484268928335054e-08, 2.4976549318865577e-08, 1.3670837465866559e-08, 1.0293233342677338e-08, 5.166175855720152e-09, 3.624163663346046e-09, 2.900140032817319e-09, 2.2281369495732314e-09, 1.7804752481392226e-09, 1.354219520097965e-09, 5.909287045955516e-10, 4.324395191232001e-10, 3.3903697277645493e-10, 2.455439001373219e-10, 1.3478302240124587e-10, 8.879142167624043e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[315.87518310546875, 246.0266571044922, 262.20501708984375, 246.0836181640625, 246.78668212890625, 247.83094787597656, 246.19888305664062, 246.39808654785156, 246.0946502685547, 248.88394165039062]",[1070.77490234375],[1037.1795654296875],[2659.00341796875],[40.612545013427734],[4.5004801750183105],
2026-01-13T09:21:15.518281+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,S8,S8,"CG(AdditiveSchwarz(torch.float64, Inv(torch.float32), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,6291456,75460608,1.0105947207575983e-10,"{'iterations': 75, 'residual norms': [0.108308620567285, 8.149310473568448, 7.195734198949444, 9.681899407252857, 4.78454108915301, 2.425537953758713, 2.2780628256037443, 0.9731234769238909, 0.5283129742477384, 0.28371871514608843, 0.17098676355353928, 0.10482608529411094, 0.05590510896677214, 0.044595815940494436, 0.046404752244893564, 0.03395664745233323, 0.01908690004670393, 0.010950627069481834, 0.009213664406525124, 0.007705816117996878, 0.008362611137236714, 0.009355283576731564, 0.00475183074482815, 0.0022705281300265333, 0.00118863138141065, 0.0006912963479012039, 0.00041455771765779384, 0.0003418013010037322, 0.00027860171662697267, 0.00017598150076614667, 0.00013929290108961257, 0.00012066335994865458, 0.00013604443017572988, 0.00010182455847877381, 7.97750856084062e-05, 4.827254533074483e-05, 2.4566541363410706e-05, 1.8569677862541094e-05, 1.2894421415371571e-05, 8.187060268612107e-06, 6.805825084846035e-06, 5.224211344743585e-06, 4.225046109722204e-06, 2.6978370323308044e-06, 1.3012961513006199e-06, 1.2893162367628789e-06, 1.0859222015790552e-06, 8.959231417393194e-07, 7.965164202472533e-07, 6.303358755186694e-07, 4.6167296500088307e-07, 4.7122929165083316e-07, 2.5627840010105197e-07, 1.2062823049911387e-07, 7.084884268254869e-08, 4.6659843201128955e-08, 3.353835209208585e-08, 2.5478857447100816e-08, 2.0468035150570598e-08, 1.5026600326304905e-08, 1.3392232121905784e-08, 1.1066052445643689e-08, 8.935676354224746e-09, 6.912480201735107e-09, 4.521218053017801e-09, 4.202511697313349e-09, 2.822378794702717e-09, 2.760841330652954e-09, 2.0749577186101147e-09, 1.1278061693660245e-09, 5.494121249494893e-10, 4.979319587989244e-10, 2.78500573174244e-10, 1.6814217121407067e-10, 1.2553878862706066e-10, 1.0103219903194972e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[439.3028869628906, 253.017822265625, 253.05223083496094, 253.9304962158203, 253.05746459960938, 253.10009765625, 252.99325561523438, 253.4779815673828, 256.1422119140625, 253.20211791992188]",[350.6469421386719],[873.0120239257812],[2302.73291015625],[17.18854331970215],[5.384511947631836],
2026-01-13T09:21:21.732427+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,S8,S8,"CG(HybridSchwarz(torch.float64, Inv(torch.float32), CUDSS), bsr_matmul=True)",False,0,1,10,6291456,75460608,8.881741047988779e-11,"{'iterations': 61, 'residual norms': [8.147288316937152, 7.30007428594007, 7.0474990752253035, 2.298640386084594, 2.0211611872234307, 0.8229509173767584, 0.3488871653234341, 0.16931618301152807, 0.08365507411557116, 0.05134845106786151, 0.04487120119103732, 0.040974649258644046, 0.021080725006868105, 0.01445369567518924, 0.008069573165395427, 0.008544055095873858, 0.006725343461799982, 0.0026349253996681733, 0.0017775414851517533, 0.001151367054829084, 0.0007142079925218385, 0.0004148549893910524, 0.0003059799128755424, 0.0003520614338484013, 0.00023488949221970513, 0.00012195387939406645, 5.823539985577972e-05, 3.794956161964734e-05, 3.2662354634823996e-05, 2.466973625337332e-05, 1.1588459657342667e-05, 8.452901211864974e-06, 6.75838127434009e-06, 4.810161552673471e-06, 3.916237294777904e-06, 2.5633576084785006e-06, 1.7358473813488704e-06, 8.972287915407678e-07, 5.55082281827432e-07, 3.7428314899053825e-07, 2.462228372700253e-07, 1.9315789737027814e-07, 1.7137688877558932e-07, 1.002511715838328e-07, 6.327507410470381e-08, 4.8179531125109974e-08, 4.048426776508935e-08, 2.4976545783610194e-08, 1.367083595806595e-08, 1.0293232554557837e-08, 5.166175403551159e-09, 3.6241615174641858e-09, 2.900137708052577e-09, 2.2281355417833374e-09, 1.780473470471735e-09, 1.3542159536474348e-09, 5.90926677157443e-10, 4.3243875963761116e-10, 3.3903728184570886e-10, 2.4554316851088565e-10, 1.3478212996134174e-10, 8.879147113591694e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[263.8742370605469, 207.82608032226562, 205.49513244628906, 205.53945922851562, 209.0281982421875, 209.27381896972656, 205.45455932617188, 207.38748168945312, 207.8263397216797, 205.5168914794922]",[330.73822021484375],[851.350830078125],[2365.845458984375],[5.330656051635742],[15.247008323669434],
2026-01-13T09:21:28.221155+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,S8,S8,"CG(AdditiveSchwarz(torch.float64, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,6291456,75460608,1.0097014520745775e-10,"{'iterations': 75, 'residual norms': [0.108308620567285, 8.149310494268606, 7.195736913223309, 9.681905023923644, 4.784540870442432, 2.425541526587674, 2.278067539965895, 0.973153557937948, 0.528335633922309, 0.2837353150278273, 0.1710265443406514, 0.10486081693464142, 0.05594328247632981, 0.04476715099465165, 0.0461575874012371, 0.034330325509554345, 0.019372527902967493, 0.010974076485871316, 0.009343270673098245, 0.007618918524775482, 0.008312369067456929, 0.009456684713661097, 0.0048692828234531355, 0.0023074993911663404, 0.0012043246180614186, 0.0006970807741038499, 0.0004197392874981329, 0.0003412294366566235, 0.0002804781811607969, 0.00017760573215165615, 0.00013962404590229483, 0.00012021186986848844, 0.00013635520111966024, 0.00010212847158653834, 8.070796664783515e-05, 4.899165394884006e-05, 2.4753858197600944e-05, 1.8841411862986388e-05, 1.2992830520815678e-05, 8.25420557524708e-06, 6.813669921353451e-06, 5.25344434604229e-06, 4.267207877273317e-06, 2.7320361231827267e-06, 1.3173911383014414e-06, 1.2788061621735112e-06, 1.0900514981189653e-06, 8.986387556642976e-07, 7.975237399513009e-07, 6.397334605110339e-07, 4.597838692671352e-07, 4.731014571405925e-07, 2.6203047620347934e-07, 1.244475428988278e-07, 7.133561551474167e-08, 4.7303314489309855e-08, 3.3915392060830944e-08, 2.5587663909983836e-08, 2.068643492366011e-08, 1.5068796593736782e-08, 1.3482555968480455e-08, 1.1052224311155582e-08, 9.013238447766098e-09, 6.9507879166404436e-09, 4.585842153536537e-09, 4.183354903194015e-09, 2.8600442325921735e-09, 2.744352659972805e-09, 2.1122500662167697e-09, 1.1632787860117203e-09, 5.564580771064899e-10, 4.996355153984634e-10, 2.8846750177353713e-10, 1.697790541633135e-10, 1.269236337179022e-10, 1.0094603721233071e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[395.42913818359375, 227.5417938232422, 226.36611938476562, 226.83363342285156, 226.50924682617188, 229.7355194091797, 226.2478790283203, 226.302978515625, 226.20025634765625, 226.3467559814453]",[332.31268310546875],[875.9823608398438],[2321.604248046875],[15.608736038208008],[5.785696029663086],
2026-01-13T09:21:34.230602+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,S8,S8,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,6291456,75460608,8.962712164533048e-11,"{'iterations': 61, 'residual norms': [8.147288316937153, 7.3000772138671595, 7.047486595504771, 2.2986429193661864, 2.0211634078557577, 0.8229597397294071, 0.3488976473116316, 0.16933272804459695, 0.08367368588079048, 0.05137834252019913, 0.04489522488042676, 0.041066331776622486, 0.021171300023990598, 0.014446597913714462, 0.008066662156008738, 0.008523528330476048, 0.0067473292339159975, 0.002673307433902762, 0.00177759491958674, 0.0011496799918212677, 0.0007124495873570793, 0.00041512479908818425, 0.000307516251260894, 0.00035060626534070546, 0.0002356174526094981, 0.00012222333797842492, 5.830661882204372e-05, 3.7941154853000304e-05, 3.266363677442124e-05, 2.4690338055305065e-05, 1.1710189170851452e-05, 8.446362648770078e-06, 6.7204929559831395e-06, 4.807739090006091e-06, 3.951699092168347e-06, 2.5871082907298938e-06, 1.7268356847758205e-06, 8.986576992539408e-07, 5.577267848129104e-07, 3.741312461206948e-07, 2.4708685103378373e-07, 1.9523243246821587e-07, 1.7123366614452215e-07, 1.0071693731076588e-07, 6.284128873924303e-08, 4.828529286308849e-08, 4.087377774101998e-08, 2.5588095207032102e-08, 1.3810706428643982e-08, 1.0241452873746048e-08, 5.158660165354376e-09, 3.643216975672881e-09, 2.910335684637819e-09, 2.2480199273049882e-09, 1.8031022130468913e-09, 1.364751408958361e-09, 5.906518528295344e-10, 4.299898568131416e-10, 3.434861456047888e-10, 2.531570746059686e-10, 1.3795148139585485e-10, 8.960092962021626e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[240.540771484375, 183.5245819091797, 183.5341796875, 183.63052368164062, 183.8067169189453, 185.53561401367188, 183.44525146484375, 183.50758361816406, 183.46153259277344, 183.53488159179688]",[334.9836120605469],[884.8114624023438],[2414.471435546875],[15.447360038757324],[6.198207855224609],
2026-01-13T09:21:40.937758+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,S8,S8,"CG(AdditiveSchwarz(torch.float64, Inv(torch.bfloat16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,6291456,75460608,1.0685286677620823e-10,"{'iterations': 75, 'residual norms': [0.108308620567285, 8.149310661747808, 7.195894215625937, 9.682314364813829, 4.7861782804736155, 2.4258591740645943, 2.277922084412136, 0.9748498341307793, 0.5299300105965082, 0.28490239251456867, 0.1733966150956589, 0.10660700041971523, 0.05758968035134864, 0.04765576480459905, 0.04321924460872705, 0.03635005659397169, 0.020569247311380358, 0.01120763208757069, 0.009831616065683588, 0.0074301063412043995, 0.008219510584250425, 0.00996372932954563, 0.005327683788636081, 0.002441837004390805, 0.0012761678619108935, 0.0007412210432227867, 0.0004520416756451376, 0.00034401531776055634, 0.0002912216369354866, 0.0001871645076353798, 0.00014198106742487575, 0.00012151143364296237, 0.00013691791953765692, 0.00010490302397287896, 8.463717192755041e-05, 5.2013897766390795e-05, 2.6685745502958844e-05, 2.0376311787421787e-05, 1.3662167626814544e-05, 8.965640412182458e-06, 6.979116220390344e-06, 5.613902304044346e-06, 4.468664775793968e-06, 2.9472313645055357e-06, 1.5201609230693232e-06, 1.2436034204841077e-06, 1.1816673257217326e-06, 8.977829532965155e-07, 8.123527009690306e-07, 6.975753306328531e-07, 4.78684822266981e-07, 4.942258273442908e-07, 3.1202596625965525e-07, 1.4703072056527636e-07, 7.97899196792899e-08, 5.6343437257889663e-08, 3.8687997151616745e-08, 2.7619676987955302e-08, 2.222525452417927e-08, 1.615243393166686e-08, 1.4305232563911368e-08, 1.1905993838681919e-08, 9.6666069512603e-09, 7.406388283628492e-09, 5.3582429231973724e-09, 4.208614132386336e-09, 3.403319814301695e-09, 2.722808111187192e-09, 2.4279008246151217e-09, 1.3897615993233272e-09, 7.625531658531097e-10, 5.753587717272282e-10, 4.1066671009061383e-10, 1.971340634667662e-10, 1.4206105567996045e-10, 1.0682647146220852e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[396.63653564453125, 226.31517028808594, 226.15696716308594, 228.56544494628906, 226.32330322265625, 228.5674285888672, 226.1841278076172, 226.11241149902344, 227.4587860107422, 226.86245727539062]",[333.1362609863281],[879.90966796875],[2513.013916015625],[5.7520318031311035],[5.337503910064697],
2026-01-13T09:21:47.043601+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,S8,S8,"CG(HybridSchwarz(torch.float64, Inv(torch.bfloat16), CUDSS), bsr_matmul=True)",False,0,1,10,6291456,75460608,7.119652337910283e-11,"{'iterations': 62, 'residual norms': [8.147288316937146, 7.300206281790099, 7.050223237498885, 2.299722239737113, 2.0214416542030675, 0.8242865208627738, 0.3503194964212538, 0.17131567624093283, 0.08582166079364974, 0.05423230070942746, 0.04613859999461601, 0.04423929766501499, 0.023357985189682965, 0.014155954379430319, 0.008301254419494083, 0.008376776514271125, 0.007430023872755689, 0.0033172626925017223, 0.001722390252107626, 0.0011603378414146196, 0.0007416926198395709, 0.0004449775795370622, 0.000341465607559648, 0.00030891791372354444, 0.00025268593744802345, 0.0001299241860441876, 6.38513752164759e-05, 3.92440288745515e-05, 3.345576035649096e-05, 2.5217355907225806e-05, 1.4391185195801677e-05, 8.291121160011458e-06, 6.580639973187758e-06, 5.07578185765789e-06, 4.65200922200307e-06, 2.7686106447001626e-06, 1.7044608427988901e-06, 1.0142652074164857e-06, 6.302323528892962e-07, 3.834931474777166e-07, 2.6772540138972433e-07, 2.1465694397841535e-07, 1.6451166970604273e-07, 1.1748261557396662e-07, 6.450822948855555e-08, 5.2715521825482685e-08, 4.2370725080672574e-08, 2.9083963634968672e-08, 1.5559930037290085e-08, 1.0936591643483898e-08, 5.974292431498799e-09, 3.940543134979839e-09, 2.950786540140822e-09, 2.3560918776639985e-09, 1.8899261261079575e-09, 1.4435199306767927e-09, 7.484411635125649e-10, 4.545870155267165e-10, 3.7678294444454274e-10, 2.6271497905360474e-10, 1.6409051553867513e-10, 1.0891286087798389e-10, 7.116661395545018e-11], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[242.91952514648438, 187.0284423828125, 187.0716094970703, 186.52166748046875, 187.62074279785156, 186.63446044921875, 186.96832275390625, 186.3362579345703, 186.32135009765625, 187.30758666992188]",[334.8159484863281],[889.0484008789062],[2415.17578125],[6.06822395324707],[5.98364782333374],
2026-01-13T09:21:55.269644+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,S8,S8,"CG(AdditiveSchwarz(torch.float32, Inv(), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,6291456,75460608,1.0108680608736696e-10,"{'iterations': 75, 'residual norms': [0.108308620567285, 8.149264195241196, 7.195693173709634, 9.68186780035315, 4.784524383816245, 2.425528491781191, 2.27806462822202, 0.9730642786541783, 0.5283151895065317, 0.28371613938248463, 0.17098878779029417, 0.10482534985441119, 0.05590617476822482, 0.044596782661314366, 0.04640346919923975, 0.033960119455968996, 0.019088305897865723, 0.010951419655847032, 0.009215915263758926, 0.007705073548824729, 0.008362718992335589, 0.009356002465219936, 0.004753740505179401, 0.0022711763530205028, 0.0011888710304339349, 0.0006913905075888059, 0.00041464142200150854, 0.0003417625475321581, 0.00027863947696073703, 0.00017597686493378063, 0.00013930695032841607, 0.00012064265593919826, 0.0001360735384450765, 0.00010183247186502599, 7.980545419706783e-05, 4.8287604655942164e-05, 2.457119821076848e-05, 1.8575953849281638e-05, 1.289756973296898e-05, 8.188766167077554e-06, 6.806241792003674e-06, 5.225101558691675e-06, 4.226809141813056e-06, 2.698800425346668e-06, 1.3017524470199503e-06, 1.2888864814221733e-06, 1.0859971039122437e-06, 8.959688231017133e-07, 7.964906839411995e-07, 6.307150370580548e-07, 4.6154311462150715e-07, 4.7129099447196516e-07, 2.5649886494988007e-07, 1.2078246288804426e-07, 7.086925844175253e-08, 4.667784158231699e-08, 3.355829660849852e-08, 2.548323478217865e-08, 2.0473936723924747e-08, 1.50288177041395e-08, 1.3396121252648441e-08, 1.1064940770663721e-08, 8.938985938168109e-09, 6.915121810103515e-09, 4.524134648298106e-09, 4.2019275988387594e-09, 2.823511058080728e-09, 2.7606136002852168e-09, 2.077212145233104e-09, 1.1294107182974529e-09, 5.49668503145556e-10, 4.981572485783563e-10, 2.7897844305621655e-10, 1.6825036199865508e-10, 1.2561195918375496e-10, 1.0106050519869656e-10], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[1776.521240234375, 238.0683135986328, 235.90127563476562, 236.00440979003906, 236.3745880126953, 235.7484130859375, 235.79356384277344, 235.821533203125, 235.7624053955078, 235.9652862548828]",[327.9058837890625],[896.8259887695312],[2619.36083984375],[6.337855815887451],[12.150591850280762],
2026-01-13T09:22:06.660736+00:00,continuous coefficient 2D,1,"uniform(2D,10)",S10,S8,S8,"CG(HybridSchwarz(torch.float32, Inv(), CUDSS), bsr_matmul=True)",False,0,1,10,6291456,75460608,,,,,,,,,,Conjugate gradient did not converge in 2000 iterations.
