datetime,test case,p,mesh family,fine m,solvers m,coarse m,solver,random rhs,solution warmup steps,solution measurement steps,solution repetitions,DoFs,matrix nnz,residual norm,metadata,setup metadata,solve times,matrix and DOF map copy times,matrix permute times,solver setup times,rhs copy and permute times,solution permute and copy times,exception
2025-12-26T13:12:54.163582+00:00,continuous coefficient 2D,3,"uniform(2D,9)",S4,C4,C4,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,5120,198400,5.4387399302969885e-09,"{'iterations': 111, 'residual norms': [5.898752202251439, 13.638826072687577, 10.513925559139016, 21.54955004849137, 9.324053741998977, 14.552151790410113, 11.09498314047712, 5.274693329720796, 3.2560639969131433, 2.2935044206639987, 1.2745500678051902, 0.5290811491891524, 0.3584038375389246, 0.3007939349438886, 0.20554502470476377, 0.1993387872127507, 0.2507932244506381, 0.2598971223548565, 0.16667096123399705, 0.11464291435657352, 0.11363429742955135, 0.10870135353566168, 0.09255059278600146, 0.05231401986000535, 0.03482054224983871, 0.021407117278286494, 0.02307242776682379, 0.03724593011825674, 0.024153525351565685, 0.022470087071885518, 0.02010664533825325, 0.011987615982979389, 0.007469471541886269, 0.006042238638363841, 0.004655674160221748, 0.005169342750113906, 0.004352432798167124, 0.003793753205955973, 0.0037222067455275902, 0.003283287317615956, 0.0024058437603227093, 0.002517207070154417, 0.0017475823697961843, 0.0010370950480030256, 0.00094518459458011, 0.00075120471023555, 0.0006224203037296375, 0.0007732004566851585, 0.0007748542911931898, 0.0004195127062636248, 0.00034349542908001455, 0.0002396872818220569, 0.00024673926900031063, 0.00018666081429180128, 0.00014369442387370142, 0.00014247637897063636, 0.00010566080370124994, 9.475466665704803e-05, 0.00010422086038856657, 0.00010554278929059951, 7.553059223847002e-05, 6.044067410122661e-05, 4.53868868373851e-05, 2.8944278638659186e-05, 2.7984436613977146e-05, 2.2403580006921498e-05, 2.3663063566264706e-05, 2.3448432253600334e-05, 1.6421936747372973e-05, 1.8522744097787062e-05, 1.6210807634079767e-05, 1.2908239571357192e-05, 1.2857419258197877e-05, 8.48315743055938e-06, 5.213891666251826e-06, 4.065942232589775e-06, 3.0686789441864923e-06, 2.5358466088601493e-06, 2.8174465568478624e-06, 3.283640409167394e-06, 2.30215533005166e-06, 2.0732963084771378e-06, 1.6265054646395075e-06, 1.0551047737588212e-06, 9.404653880242165e-07, 6.821197305860953e-07, 4.772137229778726e-07, 4.0612597267500955e-07, 2.607582863515385e-07, 2.220601582788001e-07, 2.5462098869240536e-07, 2.2942607798048258e-07, 2.266142115621995e-07, 2.2410490994857403e-07, 1.2666502776153873e-07, 1.0554637611553126e-07, 9.649350613820526e-08, 6.873182041241525e-08, 5.769510460444353e-08, 5.205240167203074e-08, 3.816028055215132e-08, 3.430262916682471e-08, 3.696225910597612e-08, 4.0918641447683355e-08, 3.190786881004012e-08, 2.1656202240068222e-08, 1.6089040440107962e-08, 1.140224125240826e-08, 7.067973381105378e-09, 6.013089284826188e-09, 6.98442499193984e-09, 5.438741932776827e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[1574.1341552734375, 133.7150421142578, 135.97576904296875, 134.03762817382812, 134.55381774902344, 137.58157348632812, 136.40185546875, 133.88864135742188, 134.26931762695312, 133.4778594970703]",[1.915552020072937],[631.946044921875],[1090.378662109375],[0.21775999665260315],[0.14204800128936768],
2025-12-26T13:12:56.904529+00:00,continuous coefficient 2D,3,"uniform(2D,9)",S4,C4,C4,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=True)",False,0,1,10,5120,198400,4.953359334351932e-09,"{'iterations': 68, 'residual norms': [12.902056150021247, 13.022012434413623, 15.98471009111141, 10.478876567113296, 9.192566060051748, 4.723364250850959, 3.358597204438496, 2.167322355448526, 0.94323598600922, 0.6544315153576465, 0.45593324505551663, 0.613165749455747, 0.5798013985246642, 0.3037208046536181, 0.1712859893468096, 0.093101456455791, 0.07392457508251365, 0.06280482264595476, 0.030358050060398885, 0.013377772345850036, 0.013412825109760227, 0.009337389762054697, 0.011259938170305926, 0.00831185273054948, 0.006044215175151709, 0.00433430560093071, 0.0028287501823080325, 0.0020121238121437366, 0.001204817957651756, 0.0009657818564065987, 0.0005420731927059115, 0.0005188022997900578, 0.00033389286757389496, 0.00040390240770315496, 0.0003151776441240638, 0.00017427739873608416, 0.00012435429839119822, 8.11507378716034e-05, 5.400741044644023e-05, 4.28226563203554e-05, 3.1276907434294234e-05, 1.9679946182699962e-05, 2.073158984271906e-05, 1.8778998399442265e-05, 1.4939338413931818e-05, 7.953642744752753e-06, 3.736325226518907e-06, 2.427235313382912e-06, 1.496067275111232e-06, 1.2843189586565455e-06, 1.1795281621334543e-06, 8.712137069680733e-07, 6.529750675038623e-07, 5.806110931959752e-07, 4.448300055659083e-07, 3.1831312599037385e-07, 2.419831287392029e-07, 1.2822570055525254e-07, 7.958257565336038e-08, 6.770592526525279e-08, 4.617280969291359e-08, 4.580930105096387e-08, 2.9030692036759114e-08, 2.9544543616629428e-08, 2.4723529093475726e-08, 2.0237222895600525e-08, 1.454914454432044e-08, 8.3852993481468e-09, 4.9533539620898775e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[218.1697540283203, 81.26934051513672, 81.44771575927734, 81.12448120117188, 81.90601348876953, 81.05734252929688, 82.43942260742188, 81.4593276977539, 81.94429016113281, 81.70982360839844]",[0.83651202917099],[599.8348388671875],[1022.1566162109375],[0.15667200088500977],[0.10739199817180634],
2025-12-26T13:12:58.436441+00:00,continuous coefficient 2D,3,"uniform(2D,9)",S4,C4,C4,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=True)",False,0,1,10,5120,198400,4.937260208608295e-09,"{'iterations': 53, 'residual norms': [5.898752202251439, 13.405176125731945, 8.681148657213058, 4.478482243196078, 3.031944549720388, 2.004572097840919, 1.2677960610220744, 0.9490375323132021, 0.5984712271378808, 0.36189011960477896, 0.2458588037959366, 0.16681813710677304, 0.11785544663380847, 0.07522111089799614, 0.05014778463604435, 0.03788163271279299, 0.02942422508759303, 0.020345122622096687, 0.011808516122902263, 0.007094410537443232, 0.004280551680965227, 0.002568036624731152, 0.0015410835109089728, 0.0010148949151839726, 0.0007054497917486674, 0.0004930026922728874, 0.0003235610533492051, 0.0002204390537947088, 0.0001523865807560878, 9.722489069474614e-05, 6.436869893492201e-05, 4.4680211651849305e-05, 3.399724877508523e-05, 2.3467668107521093e-05, 1.5445774441434618e-05, 9.446739541947347e-06, 6.081169520745641e-06, 3.633356370560215e-06, 2.2104305499824437e-06, 1.2766816151365859e-06, 7.902662019908178e-07, 5.238156693346182e-07, 3.3309319845096826e-07, 2.3226288757225944e-07, 1.56317654092764e-07, 1.0415309918524163e-07, 6.678183152808951e-08, 4.4596749002698086e-08, 2.9983756240155374e-08, 2.1573998403252303e-08, 1.549526357655961e-08, 1.0758023330577539e-08, 7.2058258639806494e-09, 4.937262976766196e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[144.8277130126953, 58.262176513671875, 58.003456115722656, 57.509056091308594, 58.062625885009766, 57.87849426269531, 57.53776168823242, 58.12956619262695, 57.871360778808594, 58.12019348144531]",[0.8019520044326782],[626.685546875],[58.677696228027344],[0.1430719941854477],[0.12095999717712402],
2025-12-26T13:12:59.983183+00:00,continuous coefficient 2D,3,"uniform(2D,9)",S4,C4,C4,"CG(AMGX(L1_TRUNC, None), bsr_matmul=True)",False,0,1,10,5120,198400,4.937255721437557e-09,"{'iterations': 53, 'residual norms': [5.898752202251439, 13.405175174023794, 8.681148157107291, 4.47848172362476, 3.0319446092011044, 2.0045720555258373, 1.267796225317949, 0.949037897427645, 0.5984713957799995, 0.36189015800908636, 0.24585879744708958, 0.16681812815899946, 0.11785540207311164, 0.07522108482601461, 0.05014776715170151, 0.03788162655291705, 0.029424219432851402, 0.020345104917278038, 0.011808509804982431, 0.007094409323717951, 0.004280548714812868, 0.0025680360028985543, 0.0015410831511721106, 0.0010148945784349836, 0.0007054495873589263, 0.0004930024338540258, 0.00032356075781084427, 0.00022043895282060884, 0.0001523865350956738, 9.72247650491621e-05, 6.436860243675111e-05, 4.468015470404107e-05, 3.3997222395506436e-05, 2.3467674494859573e-05, 1.5445784400276868e-05, 9.44673229886743e-06, 6.0811553079488904e-06, 3.633347106381452e-06, 2.2104288858234246e-06, 1.2766823444401413e-06, 7.902673275428917e-07, 5.238156872824951e-07, 3.330930918789731e-07, 2.3226252911966758e-07, 1.563174904342441e-07, 1.0415307983049249e-07, 6.678185847943318e-08, 4.459679087359047e-08, 2.9983767932766036e-08, 2.157399244229339e-08, 1.5495240089262222e-08, 1.0758020858808119e-08, 7.205823340846803e-09, 4.937266128440077e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[141.48358154296875, 59.40204620361328, 67.04169464111328, 59.70470428466797, 59.394432067871094, 59.0294075012207, 59.87865447998047, 60.2193603515625, 59.364097595214844, 58.83046340942383]",[0.8569920063018799],[637.9414672851562],[44.53993606567383],[0.13545599579811096],[0.11215999722480774],
2025-12-26T13:13:00.974115+00:00,continuous coefficient 2D,3,"uniform(2D,9)",S4,C4,C4,"AMGX(CG_L1_TRUNC, None)",False,0,1,10,5120,198400,53.08876982006182,{},,"[12.788543701171875, 12.231776237487793, 12.226048469543457, 12.205632209777832, 12.194944381713867, 12.173503875732422, 12.189632415771484, 12.191295623779297, 12.200896263122559, 12.200960159301758]",[0.8893120288848877],[641.9714965820312],[47.35087966918945],[0.14294399321079254],[0.13052800297737122],
2025-12-26T13:13:03.024949+00:00,continuous coefficient 2D,3,"uniform(2D,9)",S4,C4,C4,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=False)",False,0,1,10,5120,198400,5.438232617956027e-09,"{'iterations': 111, 'residual norms': [5.898752202251439, 13.638825938436508, 10.513925522710677, 21.549549642727087, 9.32405372137133, 14.552152247786745, 11.094982558061844, 5.274693609067159, 3.2560636809191035, 2.293504321010383, 1.2745498956894523, 0.5290810877506193, 0.3584038346880844, 0.30079393154805767, 0.2055449863175681, 0.19933873397805124, 0.2507932155849828, 0.2598970987988458, 0.16667078538069552, 0.11464287502637552, 0.1136342796980505, 0.10870130052004995, 0.09255054396940063, 0.05231400953330801, 0.03482052052457646, 0.02140709805330814, 0.023072423896048126, 0.03724590340238712, 0.02415351086256723, 0.02247007265783039, 0.020106639182133238, 0.01198761550866668, 0.00746946893125415, 0.006042235143396923, 0.0046556701056423835, 0.0051693377381091775, 0.004352427330298276, 0.0037937472594535148, 0.0037222028827645585, 0.0032832855682488602, 0.0024058392408907335, 0.002517205522860935, 0.0017475818731236571, 0.0010370946744401176, 0.0009451834647896155, 0.000751204885800744, 0.0006224198575361468, 0.0007731981536020782, 0.0007748533866700601, 0.00041951370372994486, 0.000343496547305772, 0.00023968649024545935, 0.0002467402769573244, 0.0001866607318836141, 0.00014369416076453012, 0.00014247660371882525, 0.00010566065752564639, 9.475436567561797e-05, 0.00010422092384551059, 0.00010554218730828016, 7.553068735926497e-05, 6.0440640649844126e-05, 4.538690005288622e-05, 2.8944287373311446e-05, 2.798438794237778e-05, 2.2403522735899714e-05, 2.3663000051541196e-05, 2.3448411808006115e-05, 1.6421913707584997e-05, 1.852272067948726e-05, 1.6210780688131985e-05, 1.2908228443103183e-05, 1.2857429116625062e-05, 8.483159995622841e-06, 5.213889724714251e-06, 4.0659477452982125e-06, 3.0686773790128073e-06, 2.535838766598141e-06, 2.8174700109354174e-06, 3.2836376599406607e-06, 2.3021503910141475e-06, 2.0732986479801026e-06, 1.6265010732092713e-06, 1.0550909557802944e-06, 9.404725109245814e-07, 6.821181127636693e-07, 4.772113000091183e-07, 4.061241729148116e-07, 2.607578903939603e-07, 2.2205913923393053e-07, 2.546208879099775e-07, 2.2942538091232202e-07, 2.2661346710307223e-07, 2.241036785468901e-07, 1.2666490240508736e-07, 1.0554563578947094e-07, 9.649270844868136e-08, 6.873054879663791e-08, 5.769514525870554e-08, 5.205278232381044e-08, 3.8160586300166514e-08, 3.430205845415891e-08, 3.696065162668051e-08, 4.091645689417047e-08, 3.190692395891196e-08, 2.165623582268122e-08, 1.6088629307363015e-08, 1.1401264748933425e-08, 7.067699667888894e-09, 6.011838194729854e-09, 6.985809573827298e-09, 5.438228945984366e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[58.71712112426758, 58.03855895996094, 58.56739044189453, 57.84601593017578, 57.655582427978516, 57.52016067504883, 57.44768142700195, 57.863807678222656, 58.325504302978516, 57.620094299316406]",[0.8807359933853149],[644.8442993164062],[659.7199096679688],[0.12835200130939484],[0.1353600025177002],
2025-12-26T13:13:04.846110+00:00,continuous coefficient 2D,3,"uniform(2D,9)",S4,C4,C4,"CG(HybridSchwarz(torch.float64, Inv(torch.float16), CUDSS), bsr_matmul=False)",False,0,1,10,5120,198400,4.9533413101950335e-09,"{'iterations': 68, 'residual norms': [12.902056150021247, 13.02201243441362, 15.98471009111139, 10.478876567113291, 9.192566060051737, 4.7233642508509535, 3.3585972044384906, 2.1673223554485217, 0.9432359860092185, 0.6544315153576451, 0.4559332450555148, 0.613165749455747, 0.5798013985246662, 0.30372080465361956, 0.1712859893468098, 0.09310145645579083, 0.07392457508251372, 0.06280482264595388, 0.030358050060397556, 0.013377772345848856, 0.013412825109757536, 0.009337389762052152, 0.011259938170300535, 0.00831185273054471, 0.006044215175146699, 0.004334305600926068, 0.0028287501823045817, 0.0020121238121404363, 0.0012048179576497862, 0.000965781856403533, 0.000542073192704537, 0.0005188022997865592, 0.000333892867570529, 0.0004039024076975486, 0.0003151776441195227, 0.00017427739873336856, 0.00012435429838955595, 8.115073787037784e-05, 5.4007410445322356e-05, 4.2822656318833785e-05, 3.1276907432596665e-05, 1.967994618158866e-05, 2.073158983915324e-05, 1.877899839646571e-05, 1.4939338410568577e-05, 7.95364274286562e-06, 3.736325224816122e-06, 2.4272353121514275e-06, 1.4960672748748417e-06, 1.2843189567737933e-06, 1.1795281587420677e-06, 8.712137035517817e-07, 6.529750637698824e-07, 5.806110890083603e-07, 4.448300018112285e-07, 3.183131226992441e-07, 2.4198312508113957e-07, 1.2822569761767489e-07, 7.95825734961898e-08, 6.770592245712394e-08, 4.617280722444099e-08, 4.580929690965595e-08, 2.9030689531957377e-08, 2.954453859504126e-08, 2.4723523795128072e-08, 2.0237217214836385e-08, 1.454914047533451e-08, 8.38529755502842e-09, 4.953351228691016e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[35.24019241333008, 34.504737854003906, 33.98534393310547, 34.84601593017578, 34.30905532836914, 33.98624038696289, 34.358177185058594, 34.10124969482422, 34.013118743896484, 33.93142318725586]",[0.8219519853591919],[652.632568359375],[655.9942626953125],[0.06758400052785873],[0.10435199737548828],
2025-12-26T13:13:05.955090+00:00,continuous coefficient 2D,3,"uniform(2D,9)",S4,C4,C4,"CG(AMGX(L1_TRUNC, torch.float32), bsr_matmul=False)",False,0,1,10,5120,198400,4.937260037262292e-09,"{'iterations': 53, 'residual norms': [5.898752202251439, 13.405176125731947, 8.681148657213056, 4.478482243196076, 3.0319445497203863, 2.004572097840916, 1.2677960610220733, 0.9490375323132032, 0.5984712271378798, 0.36189011960478207, 0.24585880379593333, 0.16681813710677285, 0.11785544663380915, 0.07522111089800018, 0.05014778463604581, 0.03788163270910037, 0.029424225196905903, 0.02034512306634157, 0.011808516418233606, 0.007094410715993961, 0.004280551715964602, 0.002568036532343363, 0.001541083518316893, 0.0010148949083278627, 0.0007054497915819639, 0.0004930026679649327, 0.00032356106237729716, 0.0002204390506217413, 0.00015238658089818317, 9.722488478674283e-05, 6.436869815563708e-05, 4.4680212729995524e-05, 3.399724954597519e-05, 2.3467668657403847e-05, 1.5445773794065595e-05, 9.446738989355448e-06, 6.08116951247779e-06, 3.633356548466567e-06, 2.210430356673743e-06, 1.2766812988767834e-06, 7.902659951553475e-07, 5.238155839417163e-07, 3.330931896895817e-07, 2.3226287048107578e-07, 1.5631761952432573e-07, 1.0415307277901321e-07, 6.678181394459512e-08, 4.459674194092756e-08, 2.9983750975154415e-08, 2.157399428785079e-08, 1.5495258890724866e-08, 1.0758018919818556e-08, 7.205823419451892e-09, 4.937260578120555e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[23.06502342224121, 22.770143508911133, 22.71798324584961, 23.751487731933594, 22.91801643371582, 22.699264526367188, 22.701248168945312, 22.728256225585938, 22.672128677368164, 22.74118423461914]",[0.8028479814529419],[648.9472045898438],[45.92598342895508],[0.13929599523544312],[0.12828800082206726],
2025-12-26T13:13:07.056142+00:00,continuous coefficient 2D,3,"uniform(2D,9)",S4,C4,C4,"CG(AMGX(L1_TRUNC, None), bsr_matmul=False)",False,0,1,10,5120,198400,4.937256946971284e-09,"{'iterations': 53, 'residual norms': [5.898752202251439, 13.40517517402379, 8.6811481571073, 4.478481723624764, 3.03194460920111, 2.004572055525839, 1.2677962253179489, 0.9490378974276452, 0.5984713957800004, 0.3618901580090873, 0.2458587974470902, 0.16681812815899985, 0.11785540207311186, 0.07522108482601468, 0.05014776715170154, 0.037881626552917054, 0.02942421943285139, 0.020345104917278034, 0.011808509804982435, 0.007094409323717967, 0.004280548714812878, 0.002568036002898564, 0.0015410831511721154, 0.0010148945784349856, 0.0007054495873589273, 0.000493002433854027, 0.0003235607578108452, 0.00022043895282060962, 0.00015238653509567422, 9.722476504916226e-05, 6.43686024367513e-05, 4.4680154704041155e-05, 3.399722239550655e-05, 2.3467674494859658e-05, 1.5445784400276885e-05, 9.446732298867447e-06, 6.081155307948894e-06, 3.633347106381457e-06, 2.2104288858234292e-06, 1.276682344440145e-06, 7.902673275428929e-07, 5.23815687282496e-07, 3.330930918789741e-07, 2.3226252911966813e-07, 1.563174904342445e-07, 1.0415307983049283e-07, 6.678185847943358e-08, 4.4596790873590896e-08, 2.998376793276627e-08, 2.1573992442293532e-08, 1.549524008926226e-08, 1.0758020858808175e-08, 7.205823340846825e-09, 4.937266128440095e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[24.413951873779297, 24.024511337280273, 23.916095733642578, 24.064319610595703, 24.20467185974121, 23.948448181152344, 23.93075180053711, 23.96895980834961, 24.009151458740234, 23.959487915039062]",[0.8128960132598877],[636.2202758789062],[45.89759826660156],[0.1438080072402954],[0.11599999666213989],
2025-12-26T13:13:11.255913+00:00,continuous coefficient 2D,3,"uniform(2D,9)",S5,C5,C5,"CG(AdditiveSchwarz(torch.float32, Inv(torch.float16), CUDSS, const_dofs_per_coarse=False), bsr_matmul=True)",False,0,1,10,20480,806400,2.9424220216693023e-09,"{'iterations': 123, 'residual norms': [2.965900179078785, 12.409435014448944, 11.996191832611299, 20.97075051169534, 11.606193178526778, 15.562661339039172, 6.070507134761523, 3.9116697110701706, 3.5322851175973016, 1.9520674734435153, 1.2991952531446007, 0.8665842905672714, 0.6136543711375034, 0.24573383847810165, 0.24471093486539242, 0.3101110840457801, 0.39103047897687915, 0.35517705480350004, 0.17389751577046142, 0.14116660859395885, 0.10419052098088279, 0.10719150519352581, 0.1002873525527787, 0.06014119236138883, 0.036209423636736356, 0.031099053337633163, 0.05061695112909187, 0.04865988022494712, 0.02761423833002421, 0.028132745456273478, 0.018103780656028468, 0.009562731331351227, 0.010598177564161346, 0.0073425367351258085, 0.010559652747489854, 0.007412366086672875, 0.005331194739886742, 0.005260418829213165, 0.00486890871150047, 0.0036554150814734113, 0.002843437352741152, 0.003336440432734694, 0.0018469397459120892, 0.0016797783670967185, 0.0017183501660110148, 0.0013200579394457318, 0.0015675433802608601, 0.0012456599771265562, 0.0008405683530052844, 0.0007304835654267014, 0.00044097713142820665, 0.0004133046584426375, 0.000366084364656658, 0.00031244784812368406, 0.0003489943773314958, 0.0002698792243324292, 0.0002509038073939087, 0.00021915807940611865, 0.00021039983020858404, 0.00016858747683057268, 0.00011618702808106226, 8.207100336415328e-05, 6.240048976162337e-05, 5.1772497749654426e-05, 4.4750420042016126e-05, 4.485742833840456e-05, 4.489963762293745e-05, 3.702975897834392e-05, 3.589240862414663e-05, 3.3880542173234755e-05, 2.2922546794124615e-05, 2.396170638768112e-05, 1.7636456057217153e-05, 9.132664693781229e-06, 7.670938956480004e-06, 6.358380437950874e-06, 4.975585825777615e-06, 5.638118880210099e-06, 6.321492285111902e-06, 5.080395365701479e-06, 4.236458188662795e-06, 3.445363649052505e-06, 2.7609307155940147e-06, 2.5775238792613366e-06, 1.7632424267327247e-06, 1.2654297549595224e-06, 1.0764346042185175e-06, 6.990596008210675e-07, 6.265802279362771e-07, 7.976589510135473e-07, 9.09839460543963e-07, 6.155790336354009e-07, 5.760505805863603e-07, 4.248346512660053e-07, 2.5813849657687995e-07, 2.3043684196972182e-07, 2.049702418493493e-07, 1.377106923523283e-07, 1.357699725764817e-07, 1.1074192069567375e-07, 1.031171546750365e-07, 1.0236839948833016e-07, 9.207995913944162e-08, 9.937891822080864e-08, 7.169953661000537e-08, 4.3368331576056405e-08, 3.3820122914120326e-08, 2.7020113689755518e-08, 2.2629924849347287e-08, 2.3480657237281686e-08, 2.1651061865508178e-08, 1.9857262872448354e-08, 1.640988849153881e-08, 1.1969208832052223e-08, 1.2311198116622901e-08, 9.821388520085891e-09, 7.43472591658705e-09, 6.334968427572275e-09, 4.786632013023831e-09, 3.751343510271234e-09, 4.28248366148691e-09, 4.474844288438836e-09, 3.134673447780229e-09, 2.942412217159947e-09], 'preconditioner metadata': [{}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}, {}]}",,"[1105.353759765625, 158.22601318359375, 157.83836364746094, 160.561279296875, 159.40325927734375, 158.37298583984375, 159.4450225830078, 159.4101104736328, 158.9589385986328, 159.7329559326172]",[1.6692479848861694],[664.5111083984375],[712.0408935546875],[0.19299200177192688],[0.13526399433612823],
